Date,Weighted_Price
2015-01-16,211.73521370575736
2015-01-17,200.99505081083802
2015-01-18,206.98293289706794
2015-01-19,212.5549660357803
2015-01-20,211.15549360007208
2015-01-21,215.61032163282383
2015-01-22,232.87726625929685
2015-01-23,230.94351024611112
2015-01-24,239.74008590520472
2015-01-25,249.3070772972381
2015-01-26,281.4935559342598
2015-01-27,260.46926989049757
2015-01-28,251.98187684266776
2015-01-29,233.31406472949166
2015-01-30,234.05753166636654
2015-01-31,229.23242387009762
2015-02-01,219.64551995660477
2015-02-02,226.9015205230446
2015-02-03,236.6960196215444
2015-02-04,225.45796696437282
2015-02-05,222.34559659713386
2015-02-06,220.04428534225778
2015-02-07,226.95256139352682
2015-02-08,225.21322657751824
2015-02-09,221.05017867192848
2015-02-10,218.65014281787097
2015-02-11,221.1954383591111
2015-02-12,220.44033961989584
2015-02-13,234.04049615044448
2015-02-14,247.5802429727762
2015-02-15,249.29756294615058
2015-02-16,235.08989516977275
2015-02-17,239.97658439430242
2015-02-18,240.3139228143756
2015-02-19,239.2494659628125
2015-02-20,244.93211436116715
2015-02-21,245.5662098868029
2015-02-22,240.21687707768294
2015-02-23,236.61685039737065
2015-02-24,238.8590708690879
2015-02-25,238.182568122529
2015-02-26,236.73691928086956
2015-02-27,250.88388255508087
2015-02-28,251.72057841516167
2015-03-01,251.0140894328556
2015-03-02,263.2470195312622
2015-03-03,274.87522386771764
2015-03-04,277.31203573592654
2015-03-05,269.28769114166084
2015-03-06,272.51585291167663
2015-03-07,273.69157532063
2015-03-08,274.7434767941444
2015-03-09,281.9417429514864
2015-03-10,291.0796690889145
2015-03-11,292.29234496763075
2015-03-12,294.64523940276797
2015-03-13,290.2610258779317
2015-03-14,284.0799944623981
2015-03-15,284.7538593851451
2015-03-16,290.6403581097556
2015-03-17,288.34652744135974
2015-03-18,271.78062997980464
2015-03-19,258.5739631721232
2015-03-20,261.4482890255423
2015-03-21,259.7937238127643
2015-03-22,262.2317767798655
2015-03-23,266.7957319556919
2015-03-24,253.55949144954423
2015-03-25,244.80856656919966
2015-03-26,249.9995030015005
2015-03-27,248.121767464327
2015-03-28,251.42424560659367
2015-03-29,244.88722181843963
2015-03-30,245.27078689811282
2015-03-31,244.95940168267035
2015-04-01,243.24698584814087
2015-04-02,248.54823142267497
2015-04-03,254.08742357484152
2015-04-04,252.8001855281541
2015-04-05,255.88460340442478
2015-04-06,257.7661790535947
2015-04-07,254.310481453537
2015-04-08,248.2969380397153
2015-04-09,243.63995215492824
2015-04-10,237.38287609705654
2015-04-11,236.16139964361508
2015-04-12,236.45479809924853
2015-04-13,231.46274267854474
2015-04-14,218.91465024455064
2015-04-15,220.10189182563462
2015-04-16,226.5068212747481
2015-04-17,223.85311852041767
2015-04-18,222.7365485900585
2015-04-19,224.53547506828124
2015-04-20,224.11788244473777
2015-04-21,226.68030630807365
2015-04-22,235.44679332599466
2015-04-23,234.61615300743878
2015-04-24,231.47634053727597
2015-04-25,228.4531768972152
2015-04-26,219.1590210169933
2015-04-27,221.3595950447039
2015-04-28,225.13425824953748
2015-04-29,224.59570998202096
2015-04-30,231.7510565159902
2015-05-01,234.7918533091571
2015-05-02,233.40760959295804
2015-05-03,238.7060655708941
2015-05-04,238.77775588097663
2015-05-05,234.49444939555363
2015-05-06,233.67287092776854
2015-05-07,231.67906197802728
2015-05-08,240.05330894482637
2015-05-09,242.3581154589186
2015-05-10,240.79577674954126
2015-05-11,240.79618190750503
2015-05-12,240.51434027579162
2015-05-13,241.95736197840313
